Silpi Köyünde	НАРСПИ
Acı çektiğim için	Эпӗ асап курнишӗн
Sen suçlusun  ben değil	Ху айӑплӑ эпӗ мар
Setner güvey değilse	Сетнер кӗрў пулмасан
Ben de kızınız değil	Эпӗ сирӗн хӗрӗр мар
Ey babacık  annecik	Эй аттеçӗм аннеçӗм
Setnerle kutsayınız	Сетнерпеле пехиллӗр
Bugünden sonra artık	Çaвӑн чухне тин вара
Birlikte olacağız	Ӗмӗр пӗрле пулӑпӑр
Yaşlı Kadın	Карчӑк
Ay  ay  kızın ne diyor	Ав ав хӗру мӗн калать
Ayartmış şeytan Setner	Сетнер шуйттан илӗртнӗ
Haydi vazgeç Miheter	Михетер каяр ха
Artık yüzüne tükür	Хӗру çине сур ӗнтӗ
Miheter	Михетер
I ıh  Setner  unutma	Ы ых Сетнер астӑвӑн
Sen mahvettin kızımı	Манӑн хӗрӗ эс çирӗн
Artık kötü kız sen de	Эсӗ çавтер усал хӗр
Kuru şimdi bu evde	Хура пўртрех тип эппин
Babanın evine sen	Аçу килне чим  халӗ
Koşarak geleceksin	Хӑвах чупса пырӑн ха
Kıymetini babanın	Аçу мӗнле ыррине
O gün anlayacaksın	Çaвӑн чухне курӑн ха
Haydi  yaşlı kadınım	Атя ватӑ карчӑкӑм
Evimize gidelim	Каяр ӗнтӗ килелле
Kızımıza diyecek	Ӗнтӗ сӑмах пӗтрӗ пулӗ
Sözümüz yoktur bizim	Паян пирӗн хӗрпеле
Yaşlı Kadın	Карчӑк
Mahvol  kuru burada	Пӗтӗр типӗр çакӑнта
Kupkuru dallar gibi	Типӗр хӑрӑк турат пек
Kemiklerin çürüsün	Шӑммӑр шаккӑр çӗриччен
Acı çek köpek gibi	Асапланӑр йытӑ пек
İlenerek gittiler	Тухса кайрӗç ылханса
Sevgili kızlarına	Ашшӗ амӑш хӑй хӗрне
Yol boyu yaşlı kadın	Урам тӑрӑх карчӑкӗ
Söyleniyor kendince	Çanтapaть хӑй сӑмахне
Utanıp kızararak	Намӑсланса хӗрелсе
Kayboldu güneş  battı	Хӗвел анчӗ пытанчӗ
Setnerin annesi de	Сетнер амӑш ахлатса
Sofrayı toparladı	Сӗтел çине пуçтарчӗ
Dört Ölü	Тӑватӑ Виле
Ağır işin ardından	Йывӑр ӗçсем хыçӗнчен
Uyku herşeyden tatlı	Ӑйхӑ темрен те паха
İnsanları Silpinin	Силпи ялин çыннисем
Tatlı uykuya daldı	Кайрӗç тутлӑ ыйӑха
Köydekiler uyuyor	Çывӑpaççӗ этемсем
Kara orman sessizce	Хура вӑрман тӗк тӑрать
Hışıldayıp dururken	Тӑрсан  тӑрсан  чашласа
Rüzgarla uyanıyor	Çил вӗрнипе вӑранать
Çıkıverdi ormandan	Килсе тухрӗç вӑрмантан
İşte iki araba	Акӑ икӗ урапа
Sessizce süzüldüler	Шӑппӑн шурӗç ялалла
Çifter çifter atlarla	Парӑн парӑн лашапа
İşte bir ses yükseldi	Акӑ сасӑ илтӗнет
Yüreği parçalıyor	Чуна çурса ян ярать
Bu sesi işitmiş de	Авӑ cacca илтнӗ те
Bir adam koşturuyor	Пӗр çын урампа чупать
Çıngır çıngır öterek	Шӑлтӑр шалтӑр ташласа
Arabalar koşuyor	Урапасем кустарчӗç
Ormana yönelerek	Вӑрман ӑшне кустарса
Ortadan kayboluyor	Кӗрсе кайрӗç çухалчӗç
İnsanlar haykırıyor	Шӑри шари çын шавлать
Sokakta koşturuyor	Урам тӑрӑх чупкалать
Miheteri soymuşlar	Михетере çаратнӑ
Diyerek  bağırıyor	Тесе пӗри кӑшкӑрать
Herkes yukarı doğru	Пурте тури касалла
Soluk soluğa koşup	Хашка хашка чупаççӗ
Ne olmuş da ne olm uş	Мӗн пулнӑ та мӗн пулнӑ
Birbirinden soruyor	Пӗр пӗринчен ыитaççӗ
Miheteri soymuşlar	Михетере çаратнӑ
Hiç bir şey komamışlar	Пӗр япала хӑварман
Tanrının cezaları	Çӗp çӑтманӑ вӑрӑсем
Tanrıdan korkmamışlar	Турӑран та хӑраман
Miheterle kadını	Михетерпе карчӑкне
Hırsızlar öldürmüşler	Иккӗшне те вӗлернӗ
Yedi hizmetçiyi de	Çичӗ тарçи  тӗрçине
Şarapla uyutmuşlar	Эрех парса ўсӗртнӗ
Setner koşup yetişmiş	Сетнер чупса çитнӗ мӗн
Duyarak seslerini	Илтсе карчӑк сассине
Hırsız  şeytan  baltayla	Вӑрӑ шуйттан пурттипе
Parçalamış başını	Пуçнех çурнӑ унӑнне
Miheteri öldürmüş	Михетере вӗлернӗ
Hiçbir şey bırakmamış	Мулне мӗнне хӑварман
Bu uğursuz hırsızlar	Сӗмсӗр пуçсӑр вӑррисем
Tanrıdan da korkmamış	Турӑран та хӑраман
Zavallı Setner ölmüş	Пӗтнӗ мӗскӗн Сетнер те
Hırsızın baltasıyla	Усал вӑрӑ пурттинччен
Böyle bir şey görmemiş	Унпек усал ӗç курман
Silpi köyü dünyada	Силпи ялӗ халиччен
Miheterin Narspisi	Михетерӗн Нарспийӗ
Bir damla yaş dökmüyor	Пӗр куççуль те юхтармасть
Babasının evinde	Ашшӗн пушӑ килӗнче
Kımıltısız duruyor	Выpӑнтан та хускалмасть
Sanki değirmen taşı	Кӑтӑр кӑтӑр арман чулӗ
Yüreğinin üstünde	Чӗре çинче авӑрать
Ve altında bu taşın	Арман чулӗ айӗнче
Yüreği lime lime	Мӗскӗн чӗре çурӑлать
Ah  yarılıp gitti de	Ах çурӑлса кайрӗ те
Narspi kız yere düştü	Нарспи кайрӗ йӑванса
Aklı başına geldi	Тин ӑн килсе кӗчӗ те
Ağlamaya başladı	Йӗрсе ячӗ кӑшкӑрса
Ey babacık  annecik	Эй аттеçӗм аннеçӗм
Dünyaya niye geldim	Мӗншӗн мана çуратрӑр
Acı çekmek için mi	Тӗнче асапне курма
Gün ışığına çıktım	Кун çутине кӑтартрӑр
Ey tanrım  ey ilahım	Эй турӑçӑм  пулӗхçӗм
Niçin bana can verdin	Мӗншӗн ман а чун патӑн
Zavallı genç başıma	Мӗскӗн çамрӑк пу çӑма
Bir iyi gün vermedin	Пӗр телей те ямарӑн
Yüreciğim  genç başım	Эй чунӑмçӑм çамрӑк пуç
Niçin böyle oldun ki	Мӗншӗн капла пултӑн ши
Bu kocaman dünyanın	Пӗтӗм тӗнче хушшинче
Fazlalığı oldun ki	Эсӗ пултӑн ытлашши
Ağlayıp haykırarak	Йӗре йӗре хуйхӑрса
Yürüdü doğru kıra	Нарспи утрӗ хирелле
Köyden çıktı  yöneldi	Ялтан тухрӗ уттарчӗ
Kendir tarlalarına	Кантӑр варӗ еннелле
Köydekiler acıyla	Ялти çынсем шеллесе
Bakıp kaldı ardından	Пӑхса юлчӗç хыçӗнчен
O gün akşama kadar	Паян пулнӑ ӗç çинчен
Konuştular olaydan	Пакӑлтатрӗç тӗттӗмччен
Öbür gün sabahleyin	Тепӗр кунне ирхине
Tarlaya gitmediler	Чӑваш хире тухмарӗ
Cuma günü diyerek	Эрнекуна асӑнса
Bir iş de yapmadılar	Нимӗн ӗç те тумарӗ
Eskisi gibi sokağa	Ӗлӗкхи пек урама
Sarı kızlar çıkmadı	Сарӑ хӗрсем тухмарӗç
Dans edip eğlenmeye	Вӑйӑ ташшисем ташлама
Cesaretleri yoktu	Каччисем те хӑймарӗç
Yaşlılar öbek öbek	Тӗрлӗ çӗрте ватӑсем
Durup konuşuyorlar	Ушкӑн ушкӑн тӑраççӗ
Miheterin evini	Михетерӗн кил çуртне
Satmayı istiyorlar	Сутма канаш тӑваççӗ
Narspinin arkasından	Нарспи тaçтa кайнӑран
Gittiler aramaya	Ячӗç ӑна шырама
Miheterle kadını	Михетерпе карчӑкне
Gittiler defnetmeye	Пурте утрӗç пытарма
Büyük mezarlıktalar	Аслӑ масар хӑямат
Üç ölü var çukurda	Виçӗ виле шӑтӗӑра
Güzel yiğit Setner de	Чипер ача Сетнер те
Yatmış meşe tabutta	Выртать юман тупӑкра
Herkes güneye doğru	Кӑнтӑрлана пӗтӗм ял
Yürümeye başladı	Пӗççисене шарт çапать
Narspiyi ölü bulup	Нарспи виллине тупса
Öylece kalakaldı	Нимӗн тума аптӑрать
Arayanlar döndüler	Шыракансем таврӑнчӗç
Çatlatarak atları	Лашисене çунтарса
Kendirlikte meşeye	Кaнтӑр  варта йӑмраран
Asmış kendini Narspi	Вилнӗ терӗç çакӑнса
Sonra öldüğü yere	Вара вилнӗ вырӑннех
Onu gömüverdiler	Хучӗç ӑна пытарса
Mezarın çevresine	Тӑпри тавра шӗшкӗрен
Fındıktan çit çektiler	Çaтaн лартрӗç çавӑрса
Gün battı  gece oldu	Хӗвел анчӗ каç пулчӗ
Çuvaş uykuya daldı	Чӑваш çынни çывӑрать
Gün çıktı  aydınlattı	Хӗвел тухрӗ çуталчӗ
Çuvaş işe başladı	Чӑваш ӗçе тытӑнать
Fakat Narspi kız için	Анчах пирӗн Нарспишӗн
Sonsuz gece başladı	Ӗмӗрлӗхе каç пулчӗ
Tabutta sonsuza dek	Ӗмӗр тӗттӗм тупӑкра
Kaygı  keder kalmadı	Хуйхи çуйхи татӑлчӗ
Bir hayat böyle geçti	Çaплa иртрӗ пурӑнӑç
Yok oldu genç insanlar	Пуçӗ пӗтрӗ çамрӑклах
Anne baba isteği	Ашшӗ амӑш ухмахран
Bitti kötü bir sonla	Пӗтрӗ хуйхӑ суйхӑпах
Gördü gün ışığını	Курчӗ çутӑ тӗнчене
Tanrının bağışıyla	Пўлӗх  турӑ пўрнипе
Bir gün oldu sarı kız	Ўсрӗ  пулчӗ capӑ хӗр
Annenin bakmasıyla	Атте анне пӑхнипе
Tanrının isteğiyle	Пўлӗх  туррӑн кӑмӑлӗ
Akıllı bir kız oldu	Аслӑ турӗ хӑй хӗрне
Anne baba arzusu	Атте анне ирӗкӗ
Yedi onun başını	Çиpӗ сарӑ хӗр nyçne
Tabuta yatıverdi	Выртрӗ хӗсӗк тупӑка
Adı kaldı geride	Ячӗ юлчӗ ял çинче
Hüzünlü şarkıları	Ун хурлӑхлӑ юррисем
İnsanların aklında	Юлчӗç çынсен асӗнче
Şimdi bile Silpide	Халь те пулин Силпире
Hatırlanır zavallı	Асӑнаççӗ мӗскӗне
Yağmur yağmasza eğer	Ялан çумӑр çумасан
Sularlar toprağını	Шыв сапаççӗ тӑприне
